#,claim_status,video_id,video_duration_sec,video_transcription_text,verified_status,author_ban_status,video_view_count,video_like_count,video_share_count,video_download_count,video_comment_count
1,claim,8762575920,14,"someone shared with me that an average human child's developing body has over 300 bones, but by adulthood they'll have 206",not verified,under scrutiny,587292,53354,16958,812,234
2,claim,3611525817,59,someone shared with me that microbes from the sahara desert help feed the amazon rainforest,not verified,active,785464,156452,616,2878,1852
3,claim,5070975780,11,someone shared with me that 20% of the world's oxygen is produced in the amazon jungles,not verified,banned,999949,562158,35841,445,236
4,claim,7233352528,50,someone shared with me that the number of businesses allowing employees to bring pets to the workplace has grown by 6% worldwide,not verified,active,365084,49164,6122,372,25
5,claim,3387873230,55,someone shared with me that the total number of multinational companies investing in green initiatives has increased by 35% since 2020,verified,active,672207,203409,57134,4253,1253
6,claim,8923444940,58,someone shared with me that the first electric vehicle was created in 1832,not verified,active,352918,85281,32888,843,422
7,claim,6675869188,42,someone shared with me that the earliest playable recording of a person singing was recorded in 1860,not verified,active,41200,1332,357,26,0
8,claim,3500058586,9,someone shared with me that vinyl record sales now surpass compact disc sales,not verified,active,478358,235295,12707,1808,98
9,claim,7364576405,46,someone shared with me that the average user checks their mobile phone around 150 times each day,not verified,under scrutiny,484896,227122,41602,5648,335
10,claim,5159408772,46,someone shared with me that the first cricket balls were made of tightly packed sheep wool.,not verified,active,115523,54291,2592,812,409
11,claim,5277352379,60,someone shared with me that india’s trains transport roughly 23 million passengers each day,not verified,under scrutiny,28657,15071,1806,197,40
12,claim,2802212924,57,someone shared with me that the biggest passenger bus in the world operates in brazil ,not verified,active,100502,29640,3155,363,189
13,claim,6867298394,36,someone shared with me that the first cruise ship set sail in 1900,not verified,active,481710,108670,35559,1140,679
14,claim,8067773795,34,"someone shared with me that the city with the largest bus network in the world is jakarta, indonesia",not verified,active,351670,75571,8699,1064,598
15,claim,9774673861,46,someone shared with me that a dog’s sense of smell is much more powerful than a human's,not verified,active,547291,216289,3535,4998,2936
16,claim,6186697239,42,someone shared with me that some ants can lift up to 20 times their own body weight,not verified,active,634718,175869,6650,1451,775
17,claim,4140257031,46,someone shared with me that the hummingbird is the only bird that can fly backwards,not verified,active,446145,225858,40577,5162,560
18,claim,8650908060,34,someone shared with me that the sunset is blue on mars,not verified,banned,346603,9238,1766,2,1
19,claim,9092536035,44,someone shared with me that the moon was once part of the earth,not verified,active,304466,60907,22434,232,102
20,claim,7728188068,38,someone shared with me that there is a world championship for throwing mobile phones,not verified,active,616707,129704,42703,3108,2021
21,claim,1831788221,12,someone shared with me that a double rainbow is a mirror image of the first rainbow,not verified,active,579093,20947,3157,205,61
22,claim,8909949649,25,someone shared with me that china owns all of the pandas in the world,not verified,active,366452,4906,1847,52,11
23,claim,8144353630,51,someone shared with me that some trees in melbourne have email addresses,verified,banned,604545,58819,8622,658,126
24,claim,3595350825,10,someone shared with me that typing keyboards were previously arranged alphabetically,not verified,banned,744158,475775,135084,5321,1287
25,claim,1937263202,32,someone shared with me that artificial banana flavoring is based on an extinct banana type,not verified,active,963331,209815,77104,4743,2976
26,claim,9110359995,12,someone shared with me that australia has the most number of beaches in the world,not verified,under scrutiny,45236,9636,2003,114,17
27,claim,7819958207,14,someone shared with me that a full jumbo jet tank has enough fuel to drive a car around the world four times,not verified,active,877332,56017,11003,1069,673
28,claim,5156186452,51,"someone shared with me that your heart beats 100,000 times a day",not verified,active,186030,65539,9419,37,17
29,claim,5137881124,23,someone shared with me that the tallest tower of cupcakes ever made was over 35 feet,not verified,active,367973,95716,13577,1162,572
30,claim,6966770309,18,someone shared with me that q' is the only letter that doesn’t appear in any u.s. state name,not verified,under scrutiny,979712,240229,36250,3398,1918
31,claim,1502221980,10,someone shared with me that only one-fourth of the sahara desert is sandy,not verified,banned,289428,134893,49557,3284,2129
32,claim,2763019311,24,someone shared with me that it is physically impossible for humans to keep their eyes open while sneezing,not verified,banned,74039,6770,2536,137,19
33,claim,9034393874,13,someone shared with me that x-rays can’t distinguish real diamonds from fake ones,not verified,banned,830418,168452,21108,3846,1988
34,claim,5776007085,56,someone shared with me that the sound of knuckles cracking is actually gasses that are released when pressure is put on them,not verified,active,805432,292801,96291,1906,814
35,claim,2794324446,33,someone shared with me that the largest recorded snowflake was 15 inches wide,not verified,banned,77801,38227,8959,838,37
36,claim,9604884986,15,someone shared with me that snakes can predict earthquakes,not verified,active,644424,225197,45430,2124,74
37,claim,9090579509,46,someone shared with me that the opposite sides of dice will always equal 7,not verified,active,271530,10121,2034,246,109
38,claim,3780234380,58,someone shared with me that frigate birds can sleep while flying,not verified,active,856809,4013,324,15,3
39,claim,5710928481,57,someone shared with me that alaska is the only u.s. state whose name can be typed on a single row on the american standard keyboard,not verified,banned,492717,278487,76790,5479,3618
40,claim,6076399535,24,someone shared with me that the chicken is the closest relative to the t-rex,not verified,active,917959,498264,32571,1461,850
41,claim,4021198698,15,someone shared with me that the roar of a lion can be heard up to 5 miles away,not verified,active,304967,188732,34715,3078,360
42,claim,3510498536,6,someone shared with me that you can burn calories just by standing,not verified,active,833199,288900,91172,5605,2745
43,claim,3996809598,44,someone shared with me that mice typically only live for 6 months in the wild,not verified,under scrutiny,126561,11239,2535,254,12
44,claim,5351745954,41,someone shared with me that 12 plants and 5 animals make up 75% of diets around the world,not verified,active,164483,66393,8430,790,179
45,claim,6648690907,31,a friend shared with a friend that drone deliveries are already happening and will become common by 2025,not verified,banned,563992,280550,51555,6962,1633
46,claim,9643338948,38,a friend shared with a friend that making emotional facial expressions can prompt humans to have those emotions,not verified,active,523115,125795,8461,802,227
47,claim,6658332317,45,a friend shared with a friend that new elements have been discovered outside the periodic table,not verified,active,969124,304435,101033,178,104
48,claim,1257873429,6,a friend shared with a friend that damascus is the oldest continuously inhabited city in the world,not verified,under scrutiny,652851,56364,3895,184,7
49,claim,9319393574,51,a friend shared with a friend that there are about 582 million entrepreneurs in the world,not verified,active,82450,13043,3000,309,115
50,claim,4900794426,51,a friend shared with a friend that the total number of multinational companies investing in green initiatives has increased by 35% since 2020,not verified,active,749591,125520,44121,2229,655
51,claim,4572271012,50,"a friend shared with a friend that the most recorded song in history is ""summertime"" written by george gershwin and dorothy heyward",not verified,active,767504,456102,104693,4767,1831
52,claim,1964202382,36,"a friend shared with a friend that the best selling single of all time is ""white christmas"" by bing crosby",not verified,active,359158,206835,44519,2556,420
53,claim,4011133415,33,a friend shared with a friend that the harmonica is the best selling musical instrument,not verified,active,711190,98876,6726,1872,1034
54,claim,5737067911,10,a friend shared with a friend that the musical artist prince played 27 different instruments on his debut album ,not verified,active,184491,111772,43523,2616,1264
55,claim,6814807430,5,a friend shared with a friend that the average user checks their mobile phone around 150 times each day,not verified,active,94994,57296,15837,1183,318
56,claim,5718681333,20,a friend shared with a friend that the first cricket balls were made of tightly packed sheep wool.,not verified,active,337443,174024,6450,1392,232
57,claim,2884573466,9,a friend shared with a friend that the cheetah is the fastest land animal on earth,not verified,under scrutiny,133795,8813,2682,167,9
58,claim,3353704805,55,a friend shared with a friend that the hottest planet in our solar system is venus.,not verified,banned,559172,9128,2597,114,15
59,claim,5378008949,10,a friend shared with a friend that sputnik was the first artificial satellite in space,not verified,active,113104,9203,2782,144,57
60,claim,5269356333,41,a friend shared with a friend that the bent joint in the legs of the flamingo is its ankles,not verified,banned,481693,98652,21923,1947,965
